Document_ID,Company_Name,Statement,Financial_Year,Quarter,Revenue,Expenses,Profit,Assets,Liabilities,Equity,Profit_Margin,Profit_Category,Year,Growth_Rate,Debt_to_Equity_Ratio,Return_on_Assets,Current_Ratio,Cash_Flow,Investment_Score,Risk_Level
DOC_0011,Reed-Villanueva,"Revenue for Q3 2018 was 25837988.09 with corresponding expenses of 14985807.05, leading to a profit of 10852181.04. Risk profile: Low.",2019-2020,Q3,25837988.09,14985807.05,10852181.04,52075859.63,5638031.33,46437828.3,42.0,High,2018,-2.2,0.12,20.84,1.6,9830254.06,80.43,Low
DOC_0012,Reynolds-Morrison,The firm achieved a profit of 14599075.66 during Q2 2022 with total revenue reaching 20097966.79 and expenses of 5498891.13. The risk level was assessed as Low.,2023-2024,Q2,20097966.79,5498891.13,14599075.66,15598045.71,42941774.94,-27343729.23,72.64,High,2022,-5.75,-1.57,93.6,1.95,13437840.15,93.99,Low
DOC_0013,Collier Inc,"Revenue for Q2 2018 was 42829756.6 with corresponding expenses of 20280226.97, leading to a profit of 22549529.63. Risk profile: High.",2018-2019,Q2,42829756.6,20280226.97,22549529.63,50466187.28,49580439.18,885748.1,52.65,High,2018,10.24,55.98,44.68,2.33,22375133.19,58.01,High
DOC_0014,"Haas, Howard and Phillips","In Q2 2024, the company recorded a revenue of 29096295.28 and expenses of 18813209.23, resulting in a profit of 10283086.05. Overall performance was classified as High.",2021-2022,Q2,29096295.28,18813209.23,10283086.05,55121213.29,27558724.78,27562488.51,35.34,High,2024,11.55,1.0,18.66,0.64,10215877.71,94.0,Low
DOC_0015,Huffman Group,The firm achieved a profit of 35744256.18 during Q2 2018 with total revenue reaching 42745977.08 and expenses of 7001720.9. The risk level was assessed as Low.,2023-2024,Q2,42745977.08,7001720.9,35744256.18,30595306.32,48384221.27,-17788914.95,83.62,High,2018,6.47,-2.72,116.83,1.84,34244846.3,77.21,Low
DOC_0016,Butler Inc,"Q2 2021 performance shows revenue at 10935878.76, expenses at 14840188.41, and profit reaching -3904309.65. The period closed with a Low margin.",2018-2019,Q2,10935878.76,14840188.41,-3904309.65,1027287.8,1263836.42,-236548.62,-35.7,Low,2021,4.9,-5.34,-380.06,0.69,-3778763.68,72.69,High
DOC_0017,Reilly-Nelson,"In Q2 2024, the organization maintained a growth rate of 4.94%, achieving High profit levels and High investment risk.",2022-2023,Q2,42338373.95,6287146.66,36051227.29,21138125.52,28582933.62,-7444808.1,85.15,High,2024,4.94,-3.84,170.55,0.88,32847531.94,46.04,High
DOC_0018,"Shaw, Russell and Russell","Q2 2021 performance shows revenue at 11733008.37, expenses at 20174408.31, and profit reaching -8441399.94. The period closed with a Low margin.",2023-2024,Q2,11733008.37,20174408.31,-8441399.94,46428210.38,28479104.53,17949105.85,-71.95,Low,2021,9.19,1.59,-18.18,1.76,-8871892.52,42.02,High
DOC_0019,"Solis, Fowler and Santos","In Q4 2022, the organization maintained a growth rate of 0.96%, achieving High profit levels and High investment risk.",2020-2021,Q4,41425326.04,9920494.24,31504831.8,2637634.04,42217422.22,-39579788.18,76.05,High,2022,0.96,-1.07,1194.44,1.61,28568292.81,55.13,High
DOC_0020,"Vazquez, Fuller and Wolfe","Q4 2022 performance shows revenue at 24290208.69, expenses at 12309214.51, and profit reaching 11980994.18. The period closed with a High margin.",2024-2025,Q4,24290208.69,12309214.51,11980994.18,17276559.9,18373406.72,-1096846.82,49.32,High,2022,8.36,-16.75,69.35,2.84,11492443.36,66.03,Low
DOC_0021,Collins Ltd,"For Q1 2024, the firm achieved a 19.34% growth rate, with total revenue of 9335737.3, profit of -4396821.58, and categorized as High risk.",2018-2019,Q1,9335737.3,13732558.88,-4396821.58,50232348.34,12887735.25,37344613.09,-47.1,Low,2024,19.34,0.35,-8.75,1.54,-4553973.19,88.12,High
DOC_0022,"Charles, Harris and Perez","In Q3 2024, the organization maintained a growth rate of -6.86%, achieving High profit levels and Low investment risk.",2019-2020,Q3,37545165.27,11288795.97,26256369.3,88756921.84,39490599.47,49266322.37,69.93,High,2024,-6.86,0.8,29.58,0.62,25171323.36,70.12,Low
DOC_0023,Sanford-Moore,2024 Q1 results indicate a profit of 30954776.18 with 11.99% growth and classified as Low risk under High margin.,2019-2020,Q1,35565838.13,4611061.95,30954776.18,47049933.34,8462749.74,38587183.6,87.04,High,2024,11.99,0.22,65.79,0.83,31336759.89,65.62,Low
DOC_0024,Walker LLC,The firm achieved a profit of -14626564.06 during Q3 2022 with total revenue reaching 9717685.19 and expenses of 24344249.25. The risk level was assessed as High.,2020-2021,Q3,9717685.19,24344249.25,-14626564.06,61746173.79,26498109.09,35248064.7,-150.51,Low,2022,0.51,0.75,-23.69,1.36,-14814998.23,49.87,High
DOC_0025,Bennett-Jackson,2021 Q3 results indicate a profit of 9999413.33 with 24.15% growth and classified as High risk under High margin.,2022-2023,Q3,33617216.37,23617803.04,9999413.33,44306897.49,940590.45,43366307.04,29.74,High,2021,24.15,0.02,22.57,2.26,9540859.76,48.14,High
